Type,Latitude,Longitude
Schools,-26.584073,149.185949
Schools,-27.267947,152.972207
Schools,-21.68989,148.689757
Schools,-26.404865,146.241913
Schools,-27.448058,152.977437
Schools,-27.491511,148.326592
Schools,-27.346149,152.970755
Schools,-27.194406,152.820049
Schools,-27.571782,153.067016
Schools,-25.538713,152.714708
Schools,-28.073908,153.376585
Schools,-27.709023,151.866475
Schools,-27.533515,153.07227
Schools,-27.247743,152.425994
Schools,-28.139992,153.430151
Schools,-15.857105,144.857307
Schools,-23.544742,148.158542
Schools,-23.604175,146.129136
Schools,-27.459491,153.027559
Schools,-23.413242,150.514108
Schools,-19.247665,146.673308
Schools,-27.480277,153.008009
Schools,-18.583458,146.284909
Schools,-20.079896,146.263415
Schools,-25.558592,152.66775
Schools,-25.603854,152.590998
Schools,-27.988444,153.338259
Schools,-27.494847,153.061382
Schools,-28.157931,145.050127
Schools,-26.684509,153.053417
Schools,-27.583764,152.777154
Schools,-28.214634,152.038498
Schools,-27.502752,153.115276
Schools,-27.403128,152.929301
Schools,-27.432033,153.004101
Schools,-27.61867,153.2928
Schools,-23.959622,151.365041
Schools,-20.74156,139.500376
Schools,-27.594949,153.288058
Schools,-16.90574,145.74217
Schools,-25.501913,152.710132
Schools,-27.191031,153.029347
Schools,-27.533857,152.523892
Schools,-28.110394,153.463208
Schools,-20.360129,145.65678
Schools,-27.465821,152.581785
Schools,-15.295194,145.108213
Schools,-26.740669,150.626385
Schools,-27.798024,152.371982
Schools,-27.619052,152.784514
Schools,-27.401753,152.94406
Schools,-17.373755,145.378212
Schools,-27.46818,153.173511
Schools,-27.110745,152.924212
Schools,-23.645771,149.330138
Schools,-27.550919,152.807199
Schools,-27.870072,153.306888
Schools,-26.453259,153.03325
Schools,-27.486907,152.546057
Schools,-28.074373,153.352845
Schools,-27.490834,153.239349
Schools,-13.353032,141.729393
Schools,-27.36477,153.037452
Schools,-27.554507,152.929351
Schools,-24.845894,152.397098
Schools,-27.677651,153.235185
Schools,-24.935076,152.175705
Schools,-28.039801,153.417729
Schools,-27.398492,153.070915
Schools,-27.621094,153.237496
Schools,-27.60605,152.661749
Schools,-27.449371,152.951404
Schools,-19.304544,146.722627
Schools,-28.071361,145.679173
Schools,-16.666371,139.183349
Schools,-26.053304,151.82931
Schools,-27.265185,152.051137
Schools,-27.554245,152.543413
Schools,-28.295071,152.248805
Schools,-27.432947,153.056093
Schools,-27.491476,151.891923
Schools,-24.992419,151.954785
Schools,-24.425596,145.470046
Schools,-23.807569,150.974215
Schools,-27.705589,153.170645
Schools,-19.263025,146.826783
Schools,-22.59457,144.543306
Schools,-19.293138,146.749898
Schools,-19.314728,146.800358
Schools,-19.364162,146.723894
Schools,-26.76909,152.957999
Schools,-21.264501,148.976348
Schools,-27.757589,151.45065
Schools,-22.974584,145.242949
Schools,-21.121031,149.148706
Schools,-27.650275,152.331972
Schools,-27.891876,151.783898
Schools,-28.490157,151.973061
Schools,-24.771497,152.414774
Schools,-27.56241,152.593709
Schools,-26.567492,148.779737
Schools,-27.32924,153.054737
Schools,-18.577249,146.25186
Schools,-27.611463,152.804598
Schools,-27.407675,152.997093
Schools,-27.546458,153.204037
Schools,-27.281618,152.974965
Schools,-17.941233,138.828059
Schools,-27.435556,152.986653
Schools,-27.99741,152.680435
Schools,-18.999076,144.980704
Schools,-17.021237,145.735604
Schools,-27.800442,153.276274
Schools,-26.765568,153.013785
Schools,-27.293318,152.975039
Schools,-26.656557,150.18542
Schools,-23.716044,149.667938
Schools,-27.943123,152.62347
Schools,-23.581245,149.068079
Schools,-25.322864,152.557444
Schools,-27.084214,152.963189
Schools,-26.803779,152.964419
Schools,-24.878694,152.405796
Schools,-27.621789,152.915277
Schools,-21.159064,149.064979
Schools,-23.523568,148.160998
Schools,-19.280247,146.773462
Schools,-27.640232,153.128014
Schools,-25.798676,146.5841
Schools,-27.607697,153.129133
Schools,-27.630199,153.115547
Schools,-17.672966,141.079627
Schools,-26.17029,152.642792
Schools,-26.62143,152.964562
Schools,-27.621092,152.750822
Schools,-21.110224,149.157169
Schools,-27.970422,153.400122
Schools,-27.082934,152.948542
Schools,-26.961481,152.78065
Schools,-27.406339,153.034884
Schools,-26.614401,149.381565
Schools,-27.718463,151.6342
Schools,-21.110728,149.157384
Schools,-27.29401,152.850205
Schools,-27.388122,152.989418
Schools,-18.736284,146.578504
Schools,-28.068481,152.594504
Schools,-28.049652,153.367867
Schools,-27.629112,152.190092
Schools,-24.867435,152.407954
Schools,-26.93034,150.917526
Schools,-24.56514,149.295083
Schools,-20.846624,144.196747
Schools,-27.543596,152.470256
Schools,-23.532222,148.151294
Schools,-24.00377,151.325104
Schools,-27.542725,151.922169
Schools,-19.315336,146.734481
Schools,-23.583623,148.87771
Schools,-26.497537,151.822331
Schools,-24.872781,152.263501
Schools,-27.530029,152.934789
Schools,-22.059844,148.579568
Schools,-27.518299,153.220994
Schools,-24.822925,152.305818
Schools,-27.995583,143.827018
Schools,-23.082812,148.024909
Schools,-20.704017,140.505858
Schools,-27.601477,151.956509
Schools,-28.217032,149.793707
Schools,-27.464269,153.159283
Schools,-26.213728,152.686032
Schools,-28.070967,149.982102
Schools,-25.279518,152.833215
Schools,-24.248687,147.606917
Schools,-27.868137,152.049612
Schools,-28.031552,147.475969
Schools,-24.952099,152.378651
Schools,-27.492803,153.079048
Schools,-19.294227,146.789553
Schools,-28.850504,151.174371
Schools,-21.092238,149.068803
Schools,-19.315486,146.778356
Schools,-23.125095,150.73754
Schools,-27.94267,153.403045
Schools,-27.173543,152.942076
Schools,-24.886842,152.336254
Schools,-17.483284,140.841173
Schools,-18.652296,146.161693
Schools,-19.579138,147.400398
Schools,-17.009414,145.741058
Schools,-27.546791,153.011792
Schools,-27.451569,152.991392
Schools,-27.659227,152.921063
Schools,-14.89858,141.621434
Schools,-28.918325,151.931627
Schools,-15.471714,141.744587
Schools,-25.420451,142.654053
Schools,-26.772421,153.11766
Schools,-10.579127,142.222365
Schools,-27.72274,152.223681
Schools,-26.462346,152.679814
Schools,-19.553727,147.349195
Schools,-20.522942,145.397987
Schools,-27.537687,151.925383
Schools,-26.523505,152.96616
Schools,-21.276173,149.050619
Schools,-27.807296,152.957477
Schools,-27.604671,153.069482
Schools,-23.25921,150.82102
Schools,-23.554154,147.745099
Schools,-20.574566,147.820075
Schools,-26.66682,152.973145
Schools,-22.385272,143.038695
Schools,-27.30728,153.050112
Schools,-26.716816,153.056494
Schools,-28.006354,153.391125
Schools,-26.179663,152.732925
Schools,-21.374461,144.278743
Schools,-25.523372,152.693923
Schools,-27.108912,152.953631
Schools,-27.410923,153.017443
Schools,-20.869095,144.605782
Schools,-27.615386,152.114763
Schools,-26.552307,152.958226
Schools,-27.200218,153.030508
Schools,-26.765606,152.857306
Schools,-27.535121,149.393724
Schools,-27.665146,152.160518
Schools,-24.861844,152.372379
Schools,-19.267767,146.803975
Schools,-27.560323,151.966105
Schools,-21.152433,149.16165
Schools,-27.069929,152.932523
Schools,-12.785143,143.344184
Schools,-27.493415,153.027742
Schools,-26.444683,147.544718
Schools,-19.250927,146.793088
Schools,-27.71401,150.373348
Schools,-27.629107,152.557084
Schools,-27.296435,152.989242
Schools,-27.509771,153.035212
Schools,-27.702067,153.039102
Schools,-27.412818,152.975804
Schools,-23.650002,146.642506
Schools,-21.145681,148.958678
Schools,-17.426723,145.204512
Schools,-28.206	,153.040057
Schools,-24.469134,150.131069
Schools,-25.348326,152.601071
Schools,-18.589841,143.602879
Schools,-27.658857,151.855129
Schools,-26.415675,147.109578
Schools,-23.645833,150.388075
Schools,-17.517999,146.028648
Schools,-27.530126,153.260332
Schools,-21.0595,148.931635
Schools,-17.738838,139.547604
Schools,-23.559048,145.294399
